phase, on_ratio, optimal_travel_time, optimal_laps
0, 1/20, 19/20, 1
0, 1/10, 1/20, 2
0, 3/20, 1/20, 3
0, 1/5, 1/20, 4
0, 1/4, 1/20, 5
0, 3/10, 1/20, 6
0, 7/20, 1/20, 7
0, 2/5, 1/20, 8
0, 9/20, 1/20, 9
0, 1/2, 1/20, 10
0, 11/20, 1/2, inf
0, 3/5, 1/2, inf
0, 13/20, 1/2, inf
0, 7/10, 1/2, inf
0, 3/4, 1/2, inf
0, 4/5, 3/4, inf
0, 17/20, 4/5, inf
0, 9/10, 4/5, inf
0, 19/20, 9/10, inf
1/20, 1/20, 19/20, 0
1/20, 1/10, 19/20, 2
1/20, 3/20, 19/20, 2
1/20, 1/5, 1/20, 3
1/20, 1/4, 1/20, 4
1/20, 3/10, 1/20, 5
1/20, 7/20, 1/20, 6
1/20, 2/5, 1/20, 7
1/20, 9/20, 1/20, 8
1/20, 1/2, 1/20, 9
1/20, 11/20, 1/20, 10
1/20, 3/5, 1/2, inf
1/20, 13/20, 1/2, inf
1/20, 7/10, 1/2, inf
1/20, 3/4, 1/2, inf
1/20, 4/5, 1/2, inf
1/20, 17/20, 3/4, inf
1/20, 9/10, 4/5, inf
1/20, 19/20, 4/5, inf
1/10, 1/20, 19/20, 0
1/10, 1/10, 19/20, 0
1/10, 3/20, 19/20, 3
1/10, 1/5, 19/20, 3
1/10, 1/4, 19/20, 3
1/10, 3/10, 1/20, 4
1/10, 7/20, 1/20, 5
1/10, 2/5, 1/20, 6
1/10, 9/20, 1/20, 7
1/10, 1/2, 1/20, 8
1/10, 11/20, 1/20, 9
1/10, 3/5, 1/20, 10
1/10, 13/20, 1/2, inf
1/10, 7/10, 1/2, inf
1/10, 3/4, 1/2, inf
1/10, 4/5, 1/2, inf
1/10, 17/20, 1/2, inf
1/10, 9/10, 3/4, inf
1/10, 19/20, 9/10, inf
3/20, 1/20, 19/20, 0
3/20, 1/10, 19/20, 0
3/20, 3/20, 19/20, 0
3/20, 1/5, 19/20, 4
3/20, 1/4, 19/20, 4
3/20, 3/10, 19/20, 4
3/20, 7/20, 19/20, 4
3/20, 2/5, 1/20, 5
3/20, 9/20, 1/20, 6
3/20, 1/2, 1/20, 7
3/20, 11/20, 1/20, 8
3/20, 3/5, 1/20, 9
3/20, 13/20, 1/20, 10
3/20, 7/10, 1/2, inf
3/20, 3/4, 1/2, inf
3/20, 4/5, 1/2, inf
3/20, 17/20, 1/2, inf
3/20, 9/10, 1/2, inf
3/20, 19/20, 3/4, inf
1/5, 1/20, 19/20, 0
1/5, 1/10, 19/20, 0
1/5, 3/20, 19/20, 0
1/5, 1/5, 19/20, 0
1/5, 1/4, 19/20, 5
1/5, 3/10, 19/20, 5
1/5, 7/20, 19/20, 5
1/5, 2/5, 19/20, 5
1/5, 9/20, 19/20, 5
